word,count
##s,462
first,230
also,199
two,167
one,165
new,146
##a,134
would,119
##e,112
time,106
three,105
game,105
later,101
season,100
world,93
war,93
second,93
##ing,88
year,87
##i,85
united,82
##o,82
may,81
city,81
team,81
including,81
state,81
##er,80
film,80
##d,80
##n,80
years,79
##r,79
000,77
made,77
part,76
number,76
four,76
many,75
used,74
became,73
##y,72
series,71
##h,69
##t,69
de,69
best,68
april,67
early,66
10,66
south,65
song,65
national,65
states,65
known,64
music,63
five,62
several,62
use,61
however,61
long,61
st,61
air,60
work,60
well,59
##l,59
said,58
following,58
##es,57
episode,57
million,57
june,57
west,56
games,56
##m,55
century,55
final,55
##ly,55
released,54
end,53
british,53
##ed,53
league,53
north,52
university,52
could,52
life,52
##on,52
john,52
album,52
us,51
along,51
played,51
history,50
men,49
october,49
people,49
family,49
play,49
school,49
held,49
american,49
##u,49
called,48
award,48
20,48
since,48
although,48
began,48
named,48
##us,47
day,47
species,47
side,47
high,47
service,47
general,47
division,47
battle,46
show,46
2009,46
december,46
di,46
12,46
based,45
left,45
around,45
february,45
line,45
took,45
un,45
november,45
born,45
like,44
area,44
large,44
government,44
army,44
white,44
january,43
august,43
east,43
##en,42
100,42
home,42
sea,42
16,42
last,41
force,41
2007,41
##an,41
man,41
found,41
11,41
15,41
march,41
video,40
power,40
km,40
among,40
third,40
original,40
##z,39
place,39
another,39
town,39
##in,39
star,39
back,39
black,39
major,39
top,39
per,39
name,39
old,38
london,38
included,38
king,38
short,38
story,38
system,37
island,37
july,37
great,37
record,36
ko,36
english,36
##c,36
ten,36
30,36
club,36
received,35
cup,35
wrote,35
park,35
college,35
due,35
group,35
role,35
william,35
german,35
company,35
red,35
ho,35
george,35
football,35
hall,35
2010,34
september,34
##ia,34
small,34
##k,34
take,34
set,34
military,34
le,34
days,34
##x,34
mu,33
six,33
2006,33
house,33
attack,33
french,33
run,33
co,33
single,32
2008,32
2013,32
25,32
water,32
region,32
australian,32
2001,32
##g,32
order,32
##al,32
##ne,32
church,32
york,32
non,31
public,31
band,31
kingdom,31
near,31
13,31
next,31
still,31
royal,31
main,31
written,31
la,31
squadron,31
way,30
england,30
half,30
county,30
championship,30
members,30
con,30
##2,30
##man,30
player,29
built,29
sold,29
according,29
##9,29
much,29
late,29
18,29
##na,29
al,29
within,29
described,29
mi,29
total,28
came,28
young,28
works,28
building,28
match,28
##3,28
2012,28
without,28
awards,28
character,28
station,28
##la,28
include,28
ft,28
head,28
position,28
died,28
##6,28
go,27
##f,27
death,27
17,27
special,27
base,27
race,27
seven,27
despite,27
across,27
never,27
recorded,27
southern,27
radio,27
mo,27
court,27
production,26
david,26
sc,26
storm,26
version,26
river,26
party,26
points,26
feet,26
50,26
14,26
players,26
title,26
staff,26
make,26
times,26
police,26
population,26
brown,26
car,26
##is,26
office,26
opening,25
##8,25
australia,25
land,25
return,25
published,25
ship,25
television,25
songs,25
get,25
case,25
children,25
class,25
san,25
2011,25
lost,25
northern,24
international,24
500,24
council,24
##4,24
pre,24
returned,24
port,24
design,24
full,24
point,24
even,24
##ic,24
aircraft,24
##ter,24
bo,24
records,24
##as,24
28,24
period,24
round,24
##1,24
##or,24
book,24
grand,23
given,23
##re,23
become,23
win,23
common,23
post,23
performance,23
##um,23
michael,23
led,23
blue,23
right,23
areas,23
form,23
green,23
24,23
nine,23
centre,23
fire,23
continued,23
chief,23
far,23
coast,23
james,23
lead,23
placed,23
##ra,23
country,23
2015,23
different,22
anti,22
canada,22
sent,22
2000,22
gr,22
mm,22
range,22
son,22
father,22
instead,22
cross,22
act,22
support,22
middle,22
away,22
followed,22
developed,22
moved,22
served,22
##b,22
cr,22
track,22
##ro,22
19,22
highest,22
200,22
ka,21
ni,21
free,21
chart,21
stated,21
low,21
western,21
ga,21
modern,21
route,21
##ka,21
using,21
upon,21
ii,21
##ian,21
light,21
career,21
former,21
went,21
added,21
29,21
ra,21
result,21
front,21
ground,21
largest,21
governor,20
women,20
tropical,20
##th,20
produced,20
release,20
elements,20
rights,20
##ism,20
##ie,20
night,20
finished,20
fourth,20
vi,20
##w,20
sun,20
considered,20
test,20
se,20
##ine,20
style,20
infantry,20
washington,20
dr,20
age,20
regular,20
killed,20
forces,20
boy,20
development,20
##p,20
##ch,20
##ri,20
tour,20
##ton,20
local,20
hill,20
together,20
ben,20
working,20
ex,20
victory,20
mother,20
22,20
2005,20
teams,20
21,20
fa,19
uk,19
eight,19
rather,19
political,19
##ers,19
throughout,19
california,19
##7,19
winter,19
writing,19
met,19
art,19
metal,19
chinese,19
23,19
street,19
week,19
saw,19
leading,19
japanese,19
important,19
highway,19
though,19
america,19
spanish,19
ended,19
member,19
central,19
located,19
46,19
annual,18
pro,18
##le,18
good,18
miles,18
ad,18
tons,18
various,18
stage,18
see,18
2014,18
40,18
ke,18
movement,18
field,18
opened,18
forced,18
lu,18
strong,18
##5,18
japan,18
27,18
tu,18
br,18
ha,18
summer,18
latter,18
26,18
##lo,18
gun,18
paul,18
hit,18
castle,18
wales,18
eventually,18
islands,18
flag,18
tracks,17
##nt,17
##co,17
countries,17
sound,17
face,17
whose,17
love,17
sa,17
action,17
##te,17
ro,17
ships,17
britain,17
##pa,17
te,17
playing,17
stadium,17
director,17
worked,17
originally,17
via,17
featured,17
##ma,17
married,17
site,17
europe,17
daughter,17
cl,17
fe,17
saint,17
appeared,17
fifth,17
quickly,17
##oc,17
election,17
awarded,17
el,17
##go,17
stars,17
road,17
program,16
less,16
completed,16
started,16
addition,16
groups,16
estimated,16
stone,16
characters,16
allowed,16
du,16
scored,16
shot,16
percent,16
lake,16
running,16
wild,16
law,16
outside,16
hour,16
overall,16
previous,16
gave,16
wide,16
rock,16
mid,16
joined,16
increase,16
france,16
idea,16
community,16
able,16
##ha,16
leader,16
center,16
en,16
virginia,16
heavy,16
operations,16
personnel,16
making,16
seen,16
present,16
traditional,16
cat,16
##ta,16
##da,16
##os,16
caused,16
##ge,16
event,16
background,16
project,16
similar,16
often,16
list,16
60,16
education,16
society,16
academy,16
magazine,16
##de,16
silver,16
richard,16
hurricane,16
others,16
fame,16
give,16
##ff,16
department,16
replaced,16
course,16
ce,16
elected,15
human,15
florida,15
numbers,15
fleet,15
guns,15
subsequently,15
performed,15
90,15
campaign,15
noted,15
hot,15
particularly,15
want,15
##ar,15
thomas,15
created,15
##mo,15
##di,15
rest,15
president,15
tv,15
damage,15
hand,15
##ke,15
##ted,15
practice,15
captain,15
germany,15
square,15
yard,15
remained,15
real,15
eastern,15
level,15
relationship,15
runs,15
effects,15
ag,15
minister,15
associated,15
reported,15
theatre,15
live,15
guitar,15
##and,15
might,15
sometimes,15
winning,15
ca,15
##v,15
bridge,15
bay,15
model,15
wall,15
success,15
pop,15
science,15
sub,15
wa,15
##way,15
help,15
training,15
queen,15
shows,15
del,15
beginning,15
formed,15
##am,15
##ist,15
space,15
##ce,15
female,15
involved,15
systems,15
robert,15
possible,15
lo,15
##j,14
##rs,14
must,14
influence,14
musical,14
every,14
believed,14
weeks,14
ne,14
type,14
##ling,14
plot,14
goals,14
construction,14
independent,14
dance,14
films,14
competition,14
gold,14
pe,14
compared,14
mark,14
contains,14
generally,14
##st,14
foot,14
digital,14
medical,14
announced,14
##ble,14
decided,14
battalion,14
village,14
##ba,14
nhl,14
##ya,14
plan,14
defence,14
mc,14
towards,14
appearance,14
van,14
hours,14
ice,14
mission,14
features,14
higher,14
least,14
##bo,14
vocals,14
hospital,14
ranked,14
ac,14
earlier,14
croatian,14
valley,14
beat,14
los,14
##ur,14
energy,14
##uc,14
business,14
mel,14
##cl,14
already,14
1994,14
reached,14
36,14
wing,14
interest,14
established,14
european,14
##ey,14
designed,14
wi,14
sha,14
books,14
##li,14
medal,14
##chi,14
know,13
collection,13
loss,13
fighting,13
##tra,13
ser,13
latin,13
singles,13
tower,13
brother,13
introduced,13
wife,13
big,13
rose,13
scott,13
35,13
wind,13
press,13
super,13
economic,13
defense,13
gas,13
buildings,13
owned,13
ci,13
foreign,13
union,13
cast,13
commission,13
going,13
horse,13
private,13
network,13
##bu,13
immediately,13
##son,13
singapore,13
research,13
official,13
2003,13
20th,13
control,13
1995,13
required,13
brigade,13
##et,13
##op,13
mostly,13
ran,13
turn,13
lit,13
79,13
da,13
ever,13
association,13
religious,13
cut,13
increased,13
shown,13
##ion,13
##der,13
studios,13
titled,13
navy,13
mill,13
secretary,13
soon,13
information,13
provided,13
native,13
festival,13
issues,13
culture,13
